recorded;PM2_5 μg/m3;CO2 ppm;HUMIDITY %;TEMP °C;VOC ppb;PRESSURE hPa;PM1 μg/m3;PM10 μg/m3;SOUND_LEVEL_A dBSPL;LIGHT %
2025-03-01T00:03:41;11.00;;;;256.00;1021.44;10.00;18.00;38.00;
2025-03-01T00:08:35;;485.00;33.76;20.73;;;;;;0.00
2025-03-01T00:08:37;;;;;267.00;1021.46;;;38.00;
2025-03-01T00:13:40;;478.00;33.74;20.65;;;;;;0.00
2025-03-01T00:13:42;8.00;;;;259.00;1021.52;8.00;8.00;38.00;
2025-03-01T00:18:35;;473.00;33.70;20.82;;;;;;0.00
2025-03-01T00:18:37;;;;;246.00;1021.50;;;38.00;
2025-03-01T00:23:39;;472.00;33.72;20.71;;;;;;0.00
2025-03-01T00:23:41;5.00;;;;259.00;1021.60;5.00;5.00;38.00;
2025-03-01T00:28:35;;478.00;33.76;20.65;;;;;;0.00
2025-03-01T00:28:37;;;;;253.00;1021.66;;;38.00;
2025-03-01T00:33:39;;489.00;33.73;20.60;;;;;;0.00
2025-03-01T00:33:41;6.00;;;;264.00;1021.62;6.00;6.00;38.00;
2025-03-01T00:38:35;;486.00;33.80;20.60;;;;;;0.00
2025-03-01T00:38:37;;;;;250.00;1021.58;;;38.00;
2025-03-01T00:43:39;;472.00;33.72;20.65;;;;;;0.00
2025-03-01T00:43:41;6.00;;;;277.00;1021.56;6.00;6.00;38.00;
2025-03-01T00:58:36;;476.00;33.70;20.65;;;;;;0.00
2025-03-01T00:58:38;;;;;281.00;1021.60;;;38.00;
2025-03-01T01:03:39;;477.00;33.63;20.81;;;;;;0.00
2025-03-01T01:03:41;7.00;;;;256.00;1021.64;7.00;7.00;39.00;
2025-03-01T01:08:35;;475.00;33.68;20.71;;;;;;0.00
2025-03-01T01:08:37;;;;;273.00;1021.72;;;39.00;
2025-03-01T01:13:40;;482.00;33.79;20.65;;;;;;0.00
2025-03-01T01:13:42;5.00;;;;250.00;1021.68;5.00;5.00;39.00;
2025-03-01T01:18:35;;481.00;33.81;20.60;;;;;;0.00
2025-03-01T01:18:37;;;;;242.00;1021.64;;;38.00;
2025-03-01T01:23:40;;469.00;33.73;20.71;;;;;;0.00
2025-03-01T01:23:42;7.00;;;;236.00;1021.74;7.00;7.00;38.00;
2025-03-01T01:28:36;;467.00;33.65;20.73;;;;;;0.00
2025-03-01T01:28:38;;;;;242.00;1021.76;;;38.00;
2025-03-01T01:33:39;;468.00;33.70;20.60;;;;;;0.00
2025-03-01T01:33:41;8.00;;;;253.00;1021.80;8.00;8.00;38.00;
2025-03-01T01:38:36;;469.00;33.63;20.60;;;;;;0.00
2025-03-01T01:38:38;;;;;242.00;1021.84;;;38.00;
2025-03-01T01:58:35;;464.00;33.60;20.60;;;;;;0.00
2025-03-01T01:58:37;;;;;264.00;1021.86;;;38.00;
2025-03-01T02:03:39;;465.00;33.59;20.60;;;;;;0.00
2025-03-01T02:03:41;6.00;;;;250.00;1021.82;6.00;6.00;38.00;
2025-03-01T02:08:35;;465.00;33.63;20.60;;;;;;0.00
2025-03-01T02:08:37;;;;;267.00;1021.80;;;38.00;
2025-03-01T02:13:39;;466.00;33.61;20.60;;;;;;0.00
2025-03-01T02:13:41;7.00;;;;256.00;1021.92;7.00;7.00;38.00;
2025-03-01T02:18:35;;464.00;33.55;20.62;;;;;;0.00
2025-03-01T02:18:37;;;;;264.00;1021.96;;;38.00;
2025-03-01T02:23:39;;453.00;33.53;20.60;;;;;;0.00
2025-03-01T02:23:41;8.00;;;;267.00;1021.96;8.00;8.00;38.00;
2025-03-01T02:28:35;;451.00;33.59;20.65;;;;;;0.00
2025-03-01T02:28:37;;;;;253.00;1021.86;;;38.00;
2025-03-01T02:43:39;;468.00;33.45;20.60;;;;;;0.00
2025-03-01T02:43:41;6.00;;;;242.00;1022.06;6.00;6.00;39.00;
2025-03-01T02:48:36;;471.00;33.47;20.60;;;;;;0.00
2025-03-01T02:48:38;;;;;256.00;1022.10;;;38.00;
2025-03-01T02:53:40;;460.00;33.45;20.72;;;;;;0.00
2025-03-01T02:53:42;6.00;;;;256.00;1022.10;6.00;6.00;39.00;
2025-03-01T02:58:35;;454.00;33.47;20.62;;;;;;0.00
2025-03-01T02:58:37;;;;;277.00;1022.12;;;38.00;
2025-03-01T03:03:40;;462.00;33.50;20.62;;;;;;0.00
2025-03-01T03:03:42;5.00;;;;242.00;1022.12;5.00;5.00;39.00;
2025-03-01T03:08:35;;459.00;33.40;20.65;;;;;;0.00
2025-03-01T03:08:37;;;;;256.00;1022.16;;;38.00;
2025-03-01T03:13:39;;453.00;33.33;20.60;;;;;;0.00
2025-03-01T03:13:41;3.00;;;;242.00;1022.20;3.00;3.00;38.00;
2025-03-01T03:18:36;;460.00;33.43;20.71;;;;;;0.00
2025-03-01T03:18:38;;;;;281.00;1022.26;;;39.00;
2025-03-01T03:23:39;;465.00;33.30;20.60;;;;;;0.00
2025-03-01T03:23:41;4.00;;;;256.00;1022.26;4.00;4.00;38.00;
2025-03-01T03:28:35;;454.00;33.34;20.47;;;;;;0.00
2025-03-01T03:28:37;;;;;250.00;1022.24;;;38.00;
2025-03-01T03:33:40;;447.00;33.36;20.65;;;;;;0.00
2025-03-01T03:33:42;6.00;;;;242.00;1022.32;6.00;6.00;38.00;
2025-03-01T03:58:35;;450.00;33.33;20.61;;;;;;0.00
